CategoryID	Year	Month	Authors	Title	Conference	PlaceTime	PDF	Selected	Slides
2	2016	4	P. Smeros and M. Koubarakis.	Discovering Spatial and Temporal Links among RDF Data.	In the 9th Workshop on Linked Data on the Web (LDOW 2016).	"Montreal, Canada. 11 April, 2016."	ldow2016.pdf	1	ldow2016.pptx
1	2014	11	"M. Koubarakis, P. Smeros, C. Nikolaou, G. Garbis, K. Bereta, S. Giannakopoulou, K. Dogani, M. Karpathiotaki, I. Vlachopoulos, D. Savva, G. Stamoulis, K. Kyzirakos, S. Manegold, B. Valentin, H. Bach, F. Niggemann, P. Klug, W. Angermair and S. Burgstaller."	Linked Open Data in the Earth Observation Domain: the Vision of Project LEO.	In the 2014 Conference on Big Data from Space (BIDS 2014).	"ESA-ESRIN, Frascati, Italy. 12-14 November, 2014."	bids2014.pdf		
1	2014	3	"C. Nikolaou, K. Kyzirakos, K. Bereta, K. Dogani, S. Giannakopoulou, P. Smeros, G. Garbis, M. Koubarakis, D. E. Molina, O. C. Dumitru, G. Schwarz and M. Datcu."	Improving knowledge discovery from synthetic aperture radar images using the linked open data cloud and Sextant.	In the Image Information Mining Conference: The Sentinels Era (ESA-EUSC-JRC 2014).	"Bucharest, Romania. 5-7 March, 2014."	iim2014.pdf		
1	2014	3	"M. Koubarakis, K. Kyzirakos, C. Nikolaou, G. Garbis, K. Bereta, P. Smeros, S. Gianakopoulou, K. Dogani, M. Karpathiotaki and I. Vlachopoulos."	Linked Earth Observation Data: The Projects TELEIOS and LEO.	In the Linking Geospatial Data Conference (LGD 2014).	"London, United Kingdom. 5-6 March, 2014."	lgd2014.pdf		
1	2013	5	"K. Bereta, P. Smeros and M. Koubarakis."	Representing and Querying the valid time of triples for Linked Geospatial Data.	In the 10th Extended Semantic Web Conference (ESWC 2013).	"Montpellier, France. 26-30 May, 2013."	eswc2013.pdf	1	
1	2013	3	"M. Koubarakis, C. Kontoes, S. Manegold, M. Karpathiotakis, K. Kyzirakos, K. Bereta, G. Garbis, C. Nikolaou, D. Michail, I. Papoutsis, T. Herekakis, M. Ivanova, Y. Zhang, H. Pirk, M. Kersten, K. Dogani, S. Giannakopoulou and P. Smeros."	Real-Time Wildfire Monitoring Using Scientific Database and Linked Data Technologies.	In the 16th International Conference on Extending Database Technology (EDBT 2013).	"Genoa, Italy. 18-22 March, 2013."	edbt2013.pdf		
2	2013	5	"I. Horrocks, T. Hubauer, E. Jiménez-Ruiz, E. Kharlamov, M. Koubarakis, R. Möller, K. Bereta, C. Neuenstadt, Ö. Özçep, M. Roshchin, P. Smeros, and D. Zheleznyakov."	Addressing Streaming and Historical Data in OBDA Systems: Optique’s Approach (Statement of Interest).	In the Knowledge Discovery and Data Mining Meets Linked Open Data Workshop (Know@LOD 2013).	"Montpellier, France. 26-30 May, 2013."	knowlod2013.pdf		
4	2015	6	"K. Kyzirakos, M. Koubarakis, P. Smeros and D. Savva."	Tutorial on Publishing and Interlinking Linked Geospatial Data.	In the 12th Extended Semantic Web Conference (ESWC 2015).	"Portoroz, Slovenia. 31 May - 4 June, 2015."	http://event.cwi.nl/eswc2015-geo	1	
5	2014	9	"M. Koubarakis, C. Nikolaou, G. Garbis, K. Bereta, P. Smeros, S. Gianakopoulou, K. Dogani, M. Karpathiotaki, I. Vlachopoulos, D. Savva, K. Kyzirakos, S. Manegold, B. Valentin, N. James, H. Bach, F. Niggemann, P. Klug, W. Angermair, and S. Burgstaller."	Linked Open Data in the Earth Observation Domain: the Vision of Project LEO.	In the 8th International Conference on Web Reasoning and Rule Systems (RR 2014).	"Athens, Greece. 15-17 September, 2014."	rr2014.pdf		
5	2014	5	"C. Nikolaou, K. Kyzirakos, K. Bereta, K. Dogani, S. Giannakopoulou, P. Smeros, G. Garbis, M. Koubarakis, D. E. Molina, O. C. Dumitru, G. Schwarz, and M. Datcu."	"Big, Linked and Open Data: Applications in the German Aerospace Center."	In the 11th Extended Semantic Web Conference (ESWC 2014).	"Crete, Greece. 25-29 May, 2014."	eswc2014.pdf		
5	2013	8	"K. Kyzirakos, M. Karpathiotakis, K. Bereta, G. Garbis, C. Nikolaou, P. Smeros, S. Giannakopoulou, K. Dogani, and M. Koubarakis."	 The Spatiotemporal RDF Store Strabon.	In the 13th International Symposium on Spatial and Temporal Databases (SSTD 2013).	"Munich, Germany. 21-23 August, 2013."	sstd2013.pdf		
3	2016	9	"M. Koubarakis, K. Kyzirakos, C. Nikolaou, G. Garbis, K. Bereta, R. Dogani, S. Giannakopoulou, P. Smeros, D. Savva, G. Stamoulis, G. Vlachopoulos, S. Manegold, C. Kontoes, T. Herekakis, I. Papoutsis, and D. Michail."	"Managing Big, Linked, and Open Earth-Observation Data Using the TELEIOS/LEO software stack."	In the 2016 ΙΕΕΕ Geoscience and Remote Sensing Magazine (GRSM 2016).	September 2016.	grsm2016.pdf		
1	2017	2	"M.A. Sherif, K. Dreßler, P. Smeros and A.-C. Ngonga Ngomo."	Radon – Rapid Discovery of Topological Relations.	In the 31st AAAI Conference on Artificial Intelligence (AAAI 17).	"San Francisco, California, USA. 4-9 February, 2017."	aaai2017.pdf	1	
5	2017	1	"B. Besbinar, D. Sarigiannis and P. Smeros."	A Survey on the Recent Techniques for Sentiment Analysis on Twitter.	In the Applied Machine Learning Days (AMLD 2017).	"Lausanne, Switzerland. 30-31 January, 2017."	amld2017.pdf		
2	2017	4	"P. Smeros, A. Gupta, M. Catasta and K. Aberer."	deepschema.org: An Ontology for Typing Entities in the Web of Data.	In the 10th Workshop on Linked Data on the Web (LDOW 2017).	"Perth, WA, Australia. 3 April, 2017."	ldow2017.pdf	1	ldow2017.pptx
5	2017	9	"S. Burgstaller, W. Angermair, F. Niggemann, S. Migdall, H. Bach, I. Vlahopoulos, D. Savva, P. Smeros, G. Stamoulis, K. Bereta and M. Koubarakis."	LEOpatra: A Mobile Application for Smart Fertilization Based on Linked Data.	"In the 8th International Conference on Information and Communication Technologies in Agriculture, Food & Environment (HAICTA 2017)."	"Chania, Greece. 21-24 September, 2017."	haicta2017.pdf		
1	2019	5	"P. Smeros, C. Castillo and K. Aberer."	SciLens: Evaluating the Quality of Scientific News Articles Using Social Media and Scientific Literature Indicators.	In the 28th World Wide Web Conference (TheWebConf 2019).	"San Francisco, California, USA. 13-17 May, 2019."	 	1	